loc_x,loc_y,minutes_remaining,shot_distance,shot_made_flag,shot_id
-101,121,3,15,1,107
108,115,1,15,0,108
0,0,4,0,1,109
67,156,10,16,1,110
0,0,0,0,0,111
-87,174,8,19,0,112
-112,253,7,27,0,113
166,20,0,16,1,114
-209,186,1,27,0,115
10,156,0,15,0,116
-122,241,3,27,1,117
-148,140,11,20,0,118
-108,66,6,12,0,119
-136,110,3,17,1,120
0,0,6,0,0,121
207,22,11,20,0,122
29,7,10,2,0,123
0,0,10,0,0,124
-125,-8,2,12,0,125
111,46,1,12,1,126
192,157,6,24,0,127
0,0,4,0,0,128
93,224,10,24,0,129
-228,3,4,22,1,130
-214,97,8,23,0,131
0,0,5,0,0,132
43,184,5,18,0,133
-184,164,0,24,0,134
25,129,3,13,1,135
-119,208,11,23,0,136
-161,-3,5,16,0,137
-44,74,9,8,0,138
-149,4,5,14,1,139
-210,122,2,24,0,140
-171,199,9,26,0,141
102,86,7,13,1,142
-103,131,9,16,0,143
0,0,5,0,1,144
-163,50,6,17,1,145
197,140,7,24,0,146
143,61,6,15,1,147
0,0,2,0,1,148
72,36,7,8,1,149
0,0,5,0,1,150
-234,-2,5,23,0,151
166,-1,2,16,1,152
0,0,9,0,0,153
0,0,6,0,0,154
0,0,7,0,0,155
113,174,10,20,0,156
-136,217,0,25,0,157
130,153,0,20,0,158
141,-13,2,14,1,159
-46,91,1,10,0,160
21,7,11,2,0,161
-162,38,6,16,0,162
-144,572,0,58,0,163
-148,110,6,18,1,164
-242,141,6,28,0,165
-84,154,7,17,1,166
-169,212,0,27,0,167
164,189,8,25,1,168
148,107,4,18,0,169
0,0,2,0,1,170
0,0,9,0,1,171
-177,132,11,22,1,172
-231,15,7,23,0,173
-184,12,10,18,1,174
18,163,2,16,0,175
0,0,10,0,0,176
4,56,7,5,0,177
153,206,2,25,0,178
207,186,0,27,0,179
25,-1,9,2,1,180
196,160,1,25,0,181
51,30,8,5,0,182
39,133,0,13,1,183
234,36,10,23,0,184
0,0,6,0,1,185
0,0,2,0,1,186
0,0,5,0,0,187
-106,16,0,10,0,188
47,179,5,18,1,189
18,26,8,3,0,190
107,247,6,26,0,191
0,0,11,0,1,192
-41,206,5,21,0,193
-89,230,3,24,0,194
149,0,3,14,0,195
0,0,8,0,1,196
227,31,11,22,1,197
-33,1,1,3,0,198
192,19,2,19,0,199
0,0,8,0,1,200
0,0,3,0,1,201
104,143,10,17,0,202
0,0,6,0,1,203
0,0,6,0,0,204
0,0,2,0,0,205
128,222,8,25,0,206
0,0,10,0,0,207
163,22,7,16,0,208
-156,70,7,17,0,209
-153,206,0,25,0,210
133,15,11,13,0,211
-2,28,3,2,1,212
-221,132,5,25,1,213
-109,165,1,19,0,214
-75,64,3,9,1,215
74,165,11,18,0,216
0,0,3,0,0,217
-54,70,5,8,1,218
78,83,0,11,0,219
0,0,5,0,0,220
0,0,6,0,1,221
98,258,4,27,0,222
-29,34,8,4,0,223
-62,38,7,7,1,224
8,132,6,13,1,225
-188,91,8,20,1,226
132,115,9,17,0,227
-117,156,10,19,1,228
151,0,0,15,0,229
-93,227,2,24,0,230
18,3,6,1,0,231
-27,244,10,24,0,232
-140,227,0,26,0,233
-191,157,1,24,0,234
9,7,1,1,1,235
124,137,0,18,1,236
1,17,7,1,1,237
-128,528,0,54,0,238
73,72,7,10,1,239
-46,114,4,12,1,240
26,141,0,14,0,241
-2,162,6,16,0,242
228,87,4,24,0,243
-86,80,4,11,0,244
187,123,6,22,1,245
-185,171,3,25,0,246
-32,178,1,18,1,247
0,0,9,0,0,248
0,0,0,0,0,249
226,99,2,24,0,250
-130,12,3,13,0,251
12,-1,2,1,1,252
200,192,0,27,0,253
133,11,7,13,0,254
-84,117,11,14,1,255
66,206,6,21,0,256
-141,43,7,14,0,257
13,66,5,6,1,258
89,255,2,27,0,259
29,61,2,6,0,260
24,67,1,7,0,261
-232,-11,6,23,1,262
61,209,7,21,0,263
0,0,3,0,1,264
218,83,0,23,0,265
0,0,10,0,1,266
0,0,11,0,0,267
-16,18,5,2,0,268
39,76,6,8,1,269
0,0,9,0,0,270
0,0,9,0,1,271
-194,217,8,29,0,272
13,260,4,26,0,273
56,126,9,13,1,274
-130,207,4,24,0,275
-105,173,9,20,0,276
-59,0,10,5,0,277
151,229,0,27,0,278
166,41,5,17,0,279
0,0,10,0,1,280
39,175,8,17,1,281
24,1,5,2,1,282
0,0,8,0,1,283
200,165,10,25,0,284
0,0,0,0,0,285
-180,1,6,18,1,286
0,0,10,0,0,287
-224,-21,0,22,1,288
-31,16,2,3,1,289
-181,208,6,27,1,290
161,7,8,16,1,291
-185,99,8,20,0,292
-23,204,9,20,0,293
161,47,3,16,1,294
-117,46,6,12,1,295
0,0,0,0,1,296
0,0,0,0,0,297
-12,5,4,1,0,298
0,0,3,0,1,299
114,7,5,11,1,300
21,0,3,2,0,301
-19,105,10,10,1,302
-46,155,4,16,0,303
8,10,2,1,1,304
-146,225,1,26,0,305
-157,203,5,25,1,306
0,0,4,0,0,307
-6,74,2,7,1,308
169,-2,5,16,1,309
48,263,9,26,1,310
-232,34,6,23,0,311
0,0,8,0,0,312
159,200,4,25,1,313
11,291,2,29,0,314
140,15,11,14,0,315
-7,220,5,22,1,316
-128,99,8,16,0,317
13,253,0,25,0,318
-142,225,5,26,0,319
134,127,9,18,0,320
-21,132,4,13,0,321
-1,11,10,1,1,322
106,151,11,18,1,323
0,0,6,0,1,324
28,267,1,26,0,325
0,0,8,0,0,326
0,0,2,0,0,327
84,19,0,8,0,328
24,57,5,6,0,329
189,159,0,24,0,330
132,229,0,26,1,331
94,139,9,16,1,332
118,143,11,18,0,333
186,130,4,22,0,334
0,0,9,0,1,335
-177,-26,3,17,0,336
34,220,8,22,0,337
-38,130,7,13,1,338
0,0,0,0,0,339
-218,115,10,24,1,340
-13,42,7,4,1,341
0,0,5,0,1,342
-125,131,5,18,1,343
-2,299,0,29,0,344
124,86,10,15,1,345
70,173,2,18,1,346
-164,0,7,16,0,347
-120,6,4,12,1,348
0,0,7,0,0,349
-2,250,2,25,0,350
-147,143,9,20,1,351
135,210,3,24,0,352
-10,228,11,22,1,353
154,160,8,22,1,354
-54,23,4,5,0,355
0,0,8,0,1,356
-163,45,7,16,0,357
140,48,10,14,1,358
-191,197,6,27,1,359
0,0,4,0,0,360
-99,41,1,10,0,361
0,0,0,0,1,362
0,0,5,0,1,363
156,10,10,15,0,364
133,58,4,14,1,365
130,121,7,17,0,366
0,0,6,0,1,367
0,0,1,0,1,368
-76,27,0,8,0,369
5,36,11,3,1,370
84,69,10,10,1,371
-29,149,5,15,0,372
0,0,0,0,1,373
140,82,1,16,0,374
138,2,2,13,0,375
0,0,3,0,1,376
0,0,11,0,1,377
100,143,2,17,0,378
0,0,6,0,0,379
-15,220,1,22,0,380
-27,112,11,11,0,381
-148,-18,8,14,1,382
-8,5,11,0,0,383
5,171,4,17,0,384
-130,94,0,16,0,385
-122,105,3,16,0,386
0,48,6,4,0,387
182,156,0,23,0,388
-192,166,8,25,1,389
-19,8,7,2,0,390
126,207,0,24,0,391
20,97,9,9,0,392
-35,64,5,7,0,393
0,0,0,0,1,394
-58,76,5,9,0,395
189,38,1,19,0,396
-139,46,9,14,0,397
-139,47,1,14,1,398
-214,124,0,24,0,399
-18,63,2,6,1,400
146,34,5,14,1,401
0,0,0,0,1,402
0,0,3,0,1,403
-177,237,5,29,1,404
5,26,5,2,1,405
153,20,9,15,0,406
-59,-10,9,5,0,407
-114,200,2,23,1,408
-87,239,4,25,1,409
64,131,10,14,0,410
-66,55,8,8,0,411
-233,-18,10,23,1,412
0,0,7,0,1,413
72,11,0,7,1,414
157,213,5,26,0,415
-16,3,10,1,0,416
-128,137,0,18,0,417
0,0,3,0,1,418
140,146,9,20,1,419
123,173,1,21,1,420
-44,59,1,7,0,421
-172,176,6,24,0,422
0,0,11,0,1,423
-30,85,6,9,0,424
130,142,1,19,0,425
217,116,5,24,1,426
156,134,8,20,0,427
-4,4,2,0,0,428
66,271,0,27,0,429
29,171,10,17,0,430
-44,216,7,22,0,431
228,-5,0,22,1,432
-52,150,1,15,0,433
6,63,9,6,0,434
-196,162,9,25,0,435
203,19,4,20,0,436
58,107,4,12,1,437
-95,145,9,17,0,438
53,56,8,7,0,439
138,15,10,13,0,440
-23,264,0,26,0,441
79,257,2,26,0,442
-74,160,4,17,1,443
12,1,3,1,1,444
72,118,8,13,0,445
0,257,3,25,0,446
13,30,4,3,1,447
24,35,1,4,1,448
162,121,8,20,0,449
44,161,9,16,1,450
-107,53,7,11,0,451
193,0,5,19,0,452
-5,141,11,14,1,453
97,105,10,14,0,454
-75,56,6,9,1,455
0,0,4,0,0,456
-81,136,3,15,0,457
-23,227,0,22,1,458
-4,33,6,3,0,459
-179,176,8,25,1,460
-108,42,3,11,0,461
-187,66,1,19,1,462
-135,204,10,24,1,463
-23,63,4,6,0,464
130,61,0,14,0,465
0,0,1,0,0,466
151,105,10,18,1,467
110,0,3,11,1,468
0,0,3,0,1,469
0,0,8,0,0,470
-49,84,6,9,0,471
22,7,1,2,1,472
-140,46,11,14,1,473
0,0,7,0,0,474
0,0,0,0,1,475
197,141,7,24,1,476
-87,34,5,9,0,477
99,225,1,24,1,478
-14,-6,9,1,1,479
136,26,3,13,0,480
-82,161,11,18,1,481
-94,-5,11,9,1,482
-185,47,0,19,0,483
-94,4,2,9,0,484
84,242,8,25,1,485
7,175,2,17,0,486
100,12,1,10,0,487
54,56,4,7,0,488
-105,45,11,11,0,489
116,258,2,28,0,490
0,0,1,0,0,491
-66,161,5,17,1,492
-200,30,4,20,0,493
-89,120,8,14,0,494
-36,125,0,13,1,495
-11,7,3,1,1,496
0,0,1,0,1,497
-63,0,2,6,1,498
0,0,5,0,1,499
0,0,3,0,1,500
0,0,9,0,1,501
140,97,0,17,0,502
60,17,0,6,1,503
-119,30,4,12,0,504
-87,105,7,13,0,505
154,217,7,26,0,506
0,0,8,0,1,507
-112,6,7,11,1,508
0,0,8,0,1,509
-149,107,1,18,1,510
0,0,4,0,1,511
-86,9,10,8,0,512
-122,153,2,19,0,513
90,143,0,16,1,514
-166,1,4,16,1,515
-194,201,8,27,0,516
91,11,6,9,0,517
58,26,9,6,0,518
-131,225,2,26,0,519
14,274,9,27,0,520
-21,68,2,7,1,521
-171,8,4,17,0,522
130,216,7,25,0,523
-2,81,8,8,1,524
40,82,4,9,0,525
0,0,0,0,1,526
-32,120,7,12,0,527
-71,53,7,8,0,528
56,159,1,16,0,529
106,154,8,18,1,530
148,201,4,24,1,531
114,220,4,24,1,532
0,0,0,0,1,533
151,238,0,28,1,534
0,0,1,0,0,535
49,176,7,18,0,536
-234,0,7,23,0,537
162,200,2,25,0,538
-200,45,5,20,1,539
28,78,7,8,1,540
-200,194,0,27,0,541
159,116,2,19,0,542
-44,33,8,5,0,543
40,138,8,14,1,544
35,238,2,24,1,545
0,0,3,0,0,546
0,0,6,0,1,547
92,30,2,9,0,548
64,116,7,13,0,549
130,227,3,26,0,550
0,0,5,0,1,551
51,46,9,6,1,552
-90,67,5,11,0,553
153,143,11,20,0,554
0,0,8,0,1,555
100,197,6,22,1,556
1,26,0,2,0,557
0,0,9,0,1,558
-32,255,3,25,0,559
85,257,2,27,1,560
-23,70,0,7,0,561
-159,201,1,25,0,562
136,92,2,16,0,563
75,179,0,19,0,564
-168,12,11,16,1,565
-200,202,3,28,0,566
-111,99,8,14,0,567
185,189,2,26,0,568
-27,89,4,9,0,569
146,79,9,16,0,570
-56,134,2,14,1,571
0,0,8,0,1,572
97,155,9,18,1,573
-229,118,8,25,1,574
-14,274,0,27,0,575
35,61,5,7,1,576
42,239,11,24,0,577
0,0,0,0,1,578
0,0,7,0,1,579
-64,145,5,15,1,580
0,0,6,0,0,581
0,0,9,0,1,582
143,-1,4,14,0,583
0,0,3,0,1,584
197,109,8,22,0,585
-127,138,9,18,0,586
-186,171,2,25,0,587
42,222,11,22,1,588
136,111,10,17,0,589
-18,102,2,10,1,590
-141,122,11,18,1,591
-83,109,9,13,0,592
116,175,1,20,0,593
0,0,4,0,0,594
78,115,7,13,0,595
11,-13,2,1,1,596
0,0,1,0,1,597
-189,35,9,19,0,598
-56,91,4,10,1,599
-120,203,9,23,0,600
51,149,6,15,0,601
-189,64,4,19,0,602
0,0,6,0,1,603
89,2,2,8,1,604
146,137,7,20,1,605
136,217,11,25,0,606
-70,255,1,26,1,607
92,133,11,16,0,608
166,179,1,24,0,609
-181,161,0,24,1,610
-57,174,2,18,0,611
186,41,8,19,0,612
0,0,6,0,1,613
-130,69,10,14,1,614
0,0,10,0,0,615
0,0,8,0,1,616
103,235,10,25,0,617
17,127,7,12,1,618
0,0,9,0,0,619
118,138,9,18,1,620
5,155,2,15,0,621
-191,187,7,26,1,622
-100,235,11,25,0,623
164,179,1,24,0,624
3,93,4,9,0,625
-7,255,7,25,1,626
39,250,0,25,0,627
163,0,4,16,1,628
100,12,0,10,0,629
-1,160,1,16,0,630
-24,143,5,14,1,631
151,71,1,16,0,632
9,276,7,27,0,633
123,46,3,13,0,634
-5,3,0,0,0,635
157,28,6,15,0,636
-204,158,2,25,0,637
0,0,10,0,1,638
0,0,10,0,1,639
119,89,1,14,0,640
-182,28,0,18,1,641
0,0,9,0,1,642
0,0,4,0,1,643
-153,0,1,15,1,644
179,164,9,24,0,645
2,138,0,13,1,646
-48,13,4,4,1,647
29,342,0,34,0,648
-8,82,1,8,1,649
-223,127,0,25,0,650
-52,45,3,6,0,651
7,25,2,2,0,652
103,-3,3,10,1,653
-68,42,8,7,1,654
-13,247,10,24,0,655
0,0,3,0,0,656
-126,224,0,25,0,657
-140,178,8,22,0,658
-120,33,4,12,0,659
154,0,11,15,0,660
-52,-8,7,5,0,661
223,86,9,23,1,662
0,0,1,0,1,663
-2,3,9,0,0,664
0,0,10,0,1,665
-134,-10,2,13,0,666
-21,17,6,2,1,667
36,252,7,25,0,668
-95,235,3,25,1,669
-151,-38,9,15,0,670
0,0,8,0,1,671
-202,19,2,20,0,672
0,8,8,0,1,673
-159,22,1,16,0,674
0,0,2,0,1,675
-4,31,5,3,0,676
141,222,8,26,0,677
-124,26,7,12,0,678
21,75,11,7,0,679
156,186,6,24,0,680
28,46,8,5,0,681
-172,78,11,18,1,682
-174,176,11,24,1,683
136,33,0,13,1,684
0,0,0,0,0,685
11,175,1,17,1,686
-58,251,3,25,1,687
153,40,4,15,0,688
143,160,4,21,0,689
9,3,1,0,1,690
0,0,11,0,1,691
0,0,9,0,0,692
-97,269,4,28,0,693
-171,213,5,27,1,694
-122,129,0,17,0,695
-92,72,6,11,0,696
-205,138,10,24,0,697
0,0,0,0,0,698
82,253,4,26,0,699
56,67,1,8,0,700
0,0,2,0,1,701
-26,34,4,4,1,702
-183,193,3,26,0,703
0,0,1,0,0,704
-232,19,3,23,1,705
-228,-2,0,22,0,706
-142,208,8,25,1,707
131,217,1,25,0,708
-10,66,8,6,0,709
-25,177,9,17,0,710
125,146,3,19,1,711
56,70,10,8,0,712
10,243,5,24,1,713
-13,22,1,2,1,714
0,0,2,0,1,715
-16,291,0,29,0,716
-93,41,9,10,0,717
95,105,6,14,0,718
-5,47,2,4,1,719
-99,250,3,26,0,720
-128,138,9,18,0,721
112,155,1,19,0,722
-139,209,9,25,0,723
115,-1,3,11,1,724
162,69,3,17,0,725
-153,47,10,16,0,726
0,0,6,0,1,727
-131,207,1,24,0,728
9,91,0,9,1,729
190,-24,7,19,1,730
-11,132,1,13,1,731
0,0,1,0,1,732
-65,222,1,23,1,733
-112,156,8,19,0,734
38,183,6,18,0,735
22,80,5,8,0,736
-5,28,4,2,0,737
-174,165,3,23,1,738
0,0,4,0,1,739
36,791,0,79,0,740
146,144,9,20,1,741
179,-1,7,17,1,742
73,134,1,15,0,743
0,0,0,0,0,744
0,0,8,0,1,745
25,252,3,25,0,746
8,3,10,0,1,747
181,9,6,18,0,748
-72,12,5,7,0,749
0,0,6,0,1,750
-12,93,9,9,1,751
189,40,0,19,0,752
167,207,9,26,0,753
88,123,7,15,1,754
100,151,7,18,0,755
0,0,2,0,1,756
-144,213,6,25,0,757
0,0,3,0,0,758
0,0,7,0,0,759
0,0,1,0,0,760
-84,207,0,22,0,761
0,0,8,0,0,762
-2,50,11,5,0,763
4,55,1,5,0,764
-186,64,4,19,0,765
-199,143,5,24,0,766
72,250,5,26,1,767
235,78,8,24,0,768
113,179,8,21,1,769
-116,230,5,25,1,770
42,28,4,5,0,771
-23,84,4,8,1,772
-84,228,8,24,0,773
-21,187,0,18,0,774
130,122,1,17,0,775
39,187,6,19,0,776
58,47,3,7,0,777
155,135,6,20,0,778
204,38,8,20,1,779
-2,-2,2,0,1,780
-78,26,0,8,0,781
-136,140,2,19,1,782
-7,30,10,3,0,783
0,0,0,0,0,784
24,156,6,15,0,785
0,0,0,0,0,786
17,17,5,2,0,787
98,63,8,11,1,788
-10,18,3,2,1,789
179,100,2,20,0,790
10,7,9,1,1,791
-153,8,8,15,0,792
28,197,0,19,0,793
-130,66,10,14,0,794
153,-2,2,15,0,795
-205,71,1,21,1,796
-27,189,9,19,0,797
146,19,8,14,0,798
108,13,2,10,1,799
5,89,6,8,0,800
112,72,1,13,1,801
190,15,10,19,0,802
-159,-23,6,16,1,803
8,61,9,6,1,804
102,253,4,27,1,805
0,0,6,0,1,806
0,0,8,0,0,807
-143,32,0,14,0,808
0,0,7,0,1,809
-43,59,3,7,1,810
102,162,6,19,0,811
169,77,4,18,0,812
83,241,0,25,1,813
-111,242,1,26,1,814
83,101,6,13,1,815
0,0,0,0,1,816
206,236,0,31,0,817
-172,130,2,21,0,818
230,-16,2,23,0,819
218,102,5,24,0,820
105,147,10,18,0,821
0,0,7,0,1,822
2,25,7,2,1,823
-144,115,9,18,0,824
-227,43,0,23,0,825
35,51,8,6,0,826
-161,61,3,17,0,827
143,128,3,19,1,828
-173,-3,4,17,0,829
0,0,0,0,1,830
171,7,2,17,0,831
0,0,9,0,1,832
164,16,9,16,1,833
0,0,1,0,1,834
-119,27,4,12,0,835
-194,161,2,25,0,836
0,0,11,0,0,837
0,0,0,0,0,838
95,231,5,24,0,839
0,0,0,0,0,840
113,12,0,11,0,841
-36,46,2,5,1,842
241,94,5,25,1,843
171,186,8,25,0,844
0,0,4,0,1,845
-139,96,5,16,0,846
-31,48,10,5,1,847
-177,173,8,24,1,848
0,0,3,0,0,849
-16,160,4,16,1,850
-168,8,11,16,1,851
167,51,0,17,0,852
-12,253,2,25,1,853
115,148,1,18,1,854
8,271,0,27,0,855
-103,66,0,12,0,856
1,91,8,9,0,857
-197,134,3,23,0,858
103,169,2,19,0,859
-110,117,11,16,0,860
144,59,11,15,0,861
44,130,3,13,1,862
6,28,7,2,0,863
185,6,4,18,1,864
1,252,8,25,0,865
0,0,0,0,1,866
0,0,3,0,1,867
-52,245,0,25,1,868
3,264,8,26,0,869
-125,237,0,26,1,870
51,53,6,7,0,871
-7,-5,0,0,1,872
80,0,5,8,0,873
-7,2,1,0,1,874
199,-8,3,19,0,875
6,0,2,0,1,876
-64,18,1,6,0,877
217,115,9,24,1,878
-174,191,2,25,1,879
0,0,8,0,1,880
0,0,6,0,1,881
207,210,6,29,0,882
116,108,6,15,0,883
-2,235,11,23,0,884
0,0,10,0,0,885
78,124,8,14,0,886
-56,92,11,10,0,887
0,0,6,0,1,888
-43,156,0,16,0,889
0,0,5,0,1,890
-37,52,8,6,0,891
47,32,7,5,0,892
-108,120,11,16,0,893
61,61,2,8,0,894
0,0,2,0,0,895
220,101,5,24,0,896
115,151,10,18,0,897
138,141,7,19,1,898
152,64,5,16,0,899
68,149,4,16,1,900
107,82,9,13,0,901
128,243,7,27,1,902
61,38,11,7,0,903
176,-11,4,17,1,904
143,215,2,25,0,905
57,250,0,25,1,906
116,7,2,11,0,907
102,137,8,17,1,908
7,63,5,6,1,909
-4,173,5,17,1,910
91,13,0,9,0,911
0,0,6,0,1,912
103,230,7,25,0,913
38,41,11,5,1,914
51,13,10,5,0,915
105,14,7,10,0,916
61,21,9,6,0,917
13,137,0,13,0,918
142,150,7,20,0,919
198,157,1,25,0,920
66,56,7,8,1,921
0,0,0,0,0,922
0,0,10,0,0,923
-210,129,1,24,0,924
-57,76,9,9,1,925
0,0,5,0,1,926
0,0,2,0,1,927
200,151,1,25,0,928
-161,140,9,21,1,929
-158,-27,10,16,0,930
-171,142,7,22,1,931
141,-5,3,14,0,932
0,0,5,0,1,933
192,160,3,24,1,934
-16,207,11,20,0,935
0,0,2,0,1,936
17,23,8,2,0,937
46,115,1,12,0,938
-91,143,8,16,1,939
-191,70,7,20,0,940
47,28,2,5,0,941
135,201,0,24,1,942
-187,-6,6,18,1,943
90,166,11,18,1,944
200,72,11,21,0,945
-14,585,0,58,0,946
-4,64,4,6,1,947
149,204,8,25,1,948
0,0,0,0,1,949
33,145,7,14,0,950
-112,105,7,15,1,951
-27,-2,5,2,0,952
0,0,3,0,1,953
-229,-2,2,22,0,954
-118,3,7,11,1,955
-127,159,3,20,0,956
0,0,10,0,1,957
-4,13,4,1,0,958
-166,178,11,24,0,959
105,243,2,26,0,960
-182,192,6,26,0,961
-146,83,7,16,1,962
-118,235,5,26,0,963
159,0,6,15,0,964
85,137,7,16,1,965
31,137,3,14,1,966
-128,104,7,16,0,967
143,104,7,17,0,968
-120,228,0,25,0,969
228,53,0,23,0,970
0,0,3,0,1,971
156,158,8,22,0,972
-2,23,3,2,1,973
0,0,1,0,1,974
210,156,0,26,0,975
36,72,8,8,1,976
120,-1,8,12,1,977
0,0,9,0,1,978
-158,196,0,25,0,979
173,17,4,17,1,980
36,46,0,5,0,981
0,0,0,0,1,982
-169,118,4,20,0,983
-106,82,9,13,1,984
132,129,6,18,0,985
32,23,8,3,1,986
-31,68,0,7,0,987
154,8,10,15,0,988
20,58,9,6,0,989
0,0,0,0,1,990
-168,-18,3,16,0,991
90,138,4,16,1,992
-170,13,1,17,0,993
92,77,5,11,1,994
0,0,9,0,1,995
-151,68,3,16,0,996
78,189,5,20,0,997
0,0,6,0,1,998
0,0,3,0,1,999
0,0,6,0,1,1000
107,120,7,16,1,1001
100,239,2,25,0,1002
79,40,4,8,0,1003
23,220,2,22,0,1004
0,0,10,0,1,1005
-81,242,1,25,1,1006
0,0,7,0,1,1007
15,0,10,1,1,1008
-66,41,3,7,1,1009
193,0,2,19,0,1010
77,43,11,8,1,1011
-164,72,11,17,1,1012
64,19,1,6,0,1013
-172,173,0,24,0,1014
-156,8,1,15,1,1015
-79,181,7,19,1,1016
149,15,4,14,0,1017
-187,110,7,21,0,1018
-142,169,5,22,0,1019
-91,128,5,15,0,1020
10,278,1,27,0,1021
-175,176,3,24,0,1022
0,0,9,0,0,1023
72,280,1,28,0,1024
-73,238,1,24,0,1025
59,280,1,28,1,1026
0,0,5,0,0,1027
-1,63,8,6,1,1028
-138,217,10,25,1,1029
-71,94,7,11,1,1030
133,232,7,26,1,1031
-39,71,5,8,1,1032
-3,-3,6,0,0,1033
110,148,11,18,0,1034
-13,18,10,2,0,1035
-164,187,1,24,0,1036
77,44,5,8,1,1037
7,6,10,0,1,1038
0,0,8,0,1,1039
75,145,6,16,0,1040
97,138,6,16,1,1041
18,160,2,16,0,1042
227,35,0,22,1,1043
-153,85,4,17,1,1044
54,260,7,26,1,1045
170,118,5,20,0,1046
159,194,3,25,1,1047
125,-13,10,12,0,1048
115,134,2,17,0,1049
70,179,1,19,1,1050
0,0,0,0,0,1051
0,0,3,0,1,1052
-7,12,4,1,1,1053
0,0,0,0,1,1054
-138,30,1,14,0,1055
2,11,7,1,1,1056
-32,276,1,27,0,1057
181,179,2,25,1,1058
-33,76,0,8,1,1059
143,164,6,21,0,1060
-48,64,2,8,0,1061
0,0,8,0,1,1062
128,229,4,26,1,1063
165,209,3,26,0,1064
171,-23,3,17,0,1065
43,196,9,20,0,1066
31,84,4,8,0,1067
236,-3,9,23,0,1068
91,107,8,14,1,1069
-91,44,0,10,0,1070
136,10,9,13,1,1071
-161,104,8,19,1,1072
-20,258,8,25,0,1073
-182,186,4,26,0,1074
159,125,9,20,1,1075
174,17,2,17,0,1076
118,173,8,20,1,1077
190,173,3,25,0,1078
108,135,3,17,0,1079
-34,260,0,26,1,1080
115,84,1,14,0,1081
121,3,6,12,1,1082
167,45,8,17,0,1083
-112,151,4,18,1,1084
0,0,4,0,0,1085
-11,94,5,9,0,1086
4,14,0,1,1,1087
163,183,2,24,0,1088
79,57,9,9,1,1089
0,0,7,0,1,1090
-212,136,10,25,0,1091
-68,214,6,22,0,1092
140,97,3,17,0,1093
-135,10,2,13,0,1094
45,50,2,6,0,1095
-128,7,3,12,0,1096
-67,197,4,20,1,1097
-46,268,0,27,1,1098
15,43,2,4,0,1099
1,127,3,12,0,1100
-102,72,5,12,1,1101
0,4,2,0,1,1102
-172,195,0,26,0,1103
10,184,11,18,0,1104
16,89,3,9,0,1105
238,-31,3,24,0,1106
16,93,2,9,1,1107
21,82,2,8,0,1108
0,0,2,0,1,1109
111,233,8,25,0,1110
